kvk,naam,boekjaar,accountant
24143025,Boskalis Nederland B.V.,2024,KPMG
63346605,Boskalis Offshore Contracting B.V.,2024,KPMG
20100832,Boskalis Offshore Heavy Marine Transport B.V.,2024,KPMG
63344602,Boskalis Offshore Holding B.V.,2024,KPMG
24175350,Boskalis Offshore Long Distance Towage B.V.,2024,KPMG
24116489,Boskalis Offshore Marine Services B.V.,2024,KPMG
23052307,Boskalis Westminster Dredging B.V.,2024,KPMG
23045424,Boskalis Westminster International B.V.,2024,KPMG
33276799,Botter & Botter Holding B.V.,2024,KPMG
06068391,Bouwbedrijf Roosdom Tijhuis B.V.,2024,KPMG
62101552,Boval Groep,2024,KPMG
94706638,BPG Reko B.V.,2024,KPMG
34393125,BRAC International Holdings B.V.,2024,KPMG
24401995,Braskem Netherlands B.V.,2024,KPMG
78553393,Brink's Solutions Holdings B.V.,2024,KPMG
33235468,British American Tobacco Exports B.V.,2024,KPMG
33268088,British American Tobacco International (Holdings) B.V.,2024,KPMG
33296214,BT NEDERLAND N.V.,2024,KPMG
37039918,Burg Groep B.V.,2024,KPMG
75269708,BUZIOS5 MV32 B.V.,2024,KPMG
75651009,BW Energy Maromba B.V.,2024,KPMG
34354070,BW Offshore Management B.V.,2024,KPMG
24280998,C.P. Pharmaceuticals International C.V.,2024,KPMG
91683203,C.Tru B.V.,2024,KPMG
33159154,Capi-Lux,2024,KPMG
33119622,Cargill B.V.,2024,KPMG
33216363,Cargill Eurofinance B.V.,2024,KPMG
17070798,Carglass B.V.,2024,KPMG
33202129,Carglass-Autoglass B.V.,2024,KPMG
58818383,CARIOCA MV27 B.V.,2024,KPMG
14088784,CarUX Technology Europe B.V.,2024,KPMG
37090103,CBI Europe B.V.,2024,KPMG
34268194,Cboe Clear Europe N.V.,2024,KPMG
72273968,CBOE Europe B.V.,2024,KPMG
33273785,CBRE GWS Integrated Facility Management B.V.,2024,KPMG
34181848,CBTJ Financial Services B.V.,2024,KPMG
34106005,CEG N.V.,2024,KPMG
61484660,Celanese Europe B.V.,2024,KPMG
60725400,Celanese Polymer Products Netherlands B.V.,2024,KPMG
24251135,Central European Potato Ventures B.V.,2024,KPMG
76279472,Centric Health Nederland B.V.,2024,KPMG
62253778,Centrum Indicatiestelling Zorg,2024,KPMG
73918660,CEP Central European Petroleum B.V.,2024,KPMG
56339119,CERNAMBI NORTE MV26 B.V.,2024,KPMG
51818280,Cernambi Sul MV24 B.V.,2024,KPMG
65167899,CETIN Group N.V.,2024,KPMG
20077397,Chiquita Europe B.V.,2024,KPMG
63811421,Cicerone RE Holding B.V.,2024,KPMG
04023289,CIMC Enric Tank and Process B.V.,2024,KPMG
64199509,Circet Nederland B.V.,2024,KPMG
53860438,CMA CGM & ANL SECURITIES B.V.,2024,E & Y ; KPMG
24276503,CMA-CGM (Holland) B.V.,2024,E & Y; KPMG
33246826,CME Media Enterprises B.V.,2024,KPMG
60776676,Cnova N.V.,2024,KPMG
33033550,Cocon Vastgoed B.V.,2024,KPMG
80476414,Comet Holding B.V.,2024,KPMG
63823845,Compagnie Maritime Monegasque OSV B.V.,2024,KPMG
34165297,Compass Group Holding B.V.,2024,KPMG
33216017,Compass Group International B.V.,2024,KPMG
52099369,CompuGroup Medical Holding Coöperatief U.A.,2024,KPMG
68334036,Containerchain Netherlands B.V.,2024,KPMG
77199146,Continental Candy Industries Holding B.V.,2024,KPMG
56307675,Cooper Consumer Health B.V.,2024,KPMG
23075034,Coopervision Nederland B.V.,2024,KPMG
33006580,Corbion N.V.,2024,KPMG
85375810,Cordstrap Capital B.V.,2024,KPMG
85388955,Cordstrap Holding B.V.,2024,KPMG
17151669,Cosentino The Netherlands B.V.,2024,KPMG
62059459,Covestro (Netherlands) B.V.,2024,KPMG
37157753,Coöperatie AB Vakwerk Groep U.A.,2024,KPMG
08048747,Coöperatie FromFarmers U.A.,2024,KPMG
02300804,Coöperatie Koninklijke Avebe U.A.,2024,KPMG
02065142,Coöperatie Menzis U.A.,2024,KPMG
16085954,Coöperatie The Greenery U.A.,2024,KPMG
09101003,CR Delta,2024,KPMG
34371042,Creative Clicks B.V.,2024,KPMG
88063283,CTP Deutschland B.V.,2024,KPMG
02098310,CTP Holding B.V.,2024,KPMG
76158233,CTP N.V.,2024,KPMG
