kvk,naam,boekjaar,accountant
36000577,Stichting Woondiensten Enkhuizen,2025,Share Impact
41022121,Stichting Woonpalet Zeewolde,2025,Share Impact
77254511,Umon B.V.,2022,Share Impact
77254511,Umon B.V.,2023,Share Impact
40531186,Vereniging Rembrandt,2018,Share Impact
40531186,Vereniging Rembrandt,2019,Share Impact
40531186,Vereniging Rembrandt,2020,Share Impact
40531186,Vereniging Rembrandt,2022,Share Impact
40531186,Vereniging Rembrandt,2023,Share Impact
40531186,Vereniging Rembrandt,2024,Share Impact
40531186,Vereniging Rembrandt,2025,Share Impact
37030918,"Woningbouwvereniging ""Beter Wonen""",2021,Share Impact
37030918,"Woningbouwvereniging ""Beter Wonen""",2022,Share Impact
37030918,"Woningbouwvereniging ""Beter Wonen""",2023,Share Impact
37030918,"Woningbouwvereniging ""Beter Wonen""",2024,Share Impact
37030918,"Woningbouwvereniging ""Beter Wonen""",2025,Share Impact
37030580,Woningstichting Anna Paulowna,2018,Share Impact
37030580,Woningstichting Anna Paulowna,2019,Share Impact
37030580,Woningstichting Anna Paulowna,2020,Share Impact
37030580,Woningstichting Anna Paulowna,2022,Share Impact
37030580,Woningstichting Anna Paulowna,2023,Share Impact
37030580,Woningstichting Anna Paulowna,2024,Share Impact
37030580,Woningstichting Anna Paulowna,2025,Share Impact
32023314,Woningstichting Naarden,2019,Share Impact
32023314,Woningstichting Naarden,2020,Share Impact
32023314,Woningstichting Naarden,2022,Share Impact
32023314,Woningstichting Naarden,2023,Share Impact
28027900,Woningstichting Ons Doel,2024,Share Impact
28027900,Woningstichting Ons Doel,2025,Share Impact
10039364,Woonstichting Valburg,2022,Share Impact
10039364,Woonstichting Valburg,2023,Share Impact
10039364,Woonstichting Valburg,2024,Share Impact
10039364,Woonstichting Valburg,2025,Share Impact
09044267,Woonstichting Vryleve,2019,Share Impact
09044267,Woonstichting Vryleve,2020,Share Impact
09044267,Woonstichting Vryleve,2022,Share Impact
09044267,Woonstichting Vryleve,2023,Share Impact
09044267,Woonstichting Vryleve,2024,Share Impact
09044267,Woonstichting Vryleve,2025,Share Impact
35017759,WOV,2025,Share Impact
