kvk,naam,boekjaar,accountant,sbi,plaats
27076684,Van Lochem Den Haag Totaalonderhoud B.V.,2024,Grant Thornton,41000,
27249237,TMNS,2023,KPMG; Grant Thornton,62200,
73974692,Signicast CIREX Europe B.V.,2023,Grant Thornton,64210,
73974692,Signicast CIREX Europe B.V.,2024,Grant Thornton,64210,
30231794,PsyMens B.V.,2022,Grant Thornton,86930,
30231794,PsyMens B.V.,2024,Grant Thornton,86930,
24052685,Maasvlakte Olie Terminal N.V.,2023,Grant Thornton,52101,
24266764,Van Uden Holding B.V.,2024,Grant Thornton,64210,
08115958,Enrichment Technology Nederland B.V.,2023,Grant Thornton,20130,
24393895,Diabeter Nederland B.V.,2021,Grant Thornton,86221,
27257612,Armada Holding B.V.,2017,Grant Thornton,59200,
27257612,Armada Holding B.V.,2023,Grant Thornton,59200,
76003043,GTT Communications Netherlands B.V.,2023,Grant Thornton,61100,
76003043,GTT Communications Netherlands B.V.,2024,Grant Thornton,61100,
20105850,Hortisol Holding B.V.,2018,Grant Thornton,64210,
70339554,JBS GLOBAL MEAT HOLDINGS PTY LTD,2018,Grant Thornton,64210,
62151266,Greystar Netherlands Coöperatief U.A.,2022,Grant Thornton,64210,
62151266,Greystar Netherlands Coöperatief U.A.,2023,Grant Thornton,64210,
50919679,Hill International N.V.,2021,Grant Thornton,41000,
68030096,Micro Focus Holding Finance B.V.,2019,Grant Thornton,64210,
68030096,Micro Focus Holding Finance B.V.,2021,Grant Thornton,64210,
68030096,Micro Focus Holding Finance B.V.,2022,Grant Thornton,64210,
68030096,Micro Focus Holding Finance B.V.,2024,Grant Thornton,64210,
60281758,CreditAccess India B.V.,2024,Grant Thornton,64923,
83796797,Newtone Belastingadviseurs B.V.,2023,Grant Thornton,69204,
68218737,Advanced Safety Technologies B.V.,2024,Grant Thornton,70201,
91159520,Berry Superfos Deventer B.V.,2024,Grant Thornton,64220,
60624744,Molex Korea Holdings B.V.,2022,Grant Thornton,64210,
04040443,KGH Customs Services B.V.,2020,Grant Thornton,52260,
