kvk,naam,plaats,boekjaar,kantoor,kantoor_sleutel,afm_nummer,type_opdracht,oordeel,grond_beperking,continuiteitsonzekerheid
78069459,Instituut Nijenkamp B.V.,Almelo,2021,De Jong & Laan Controle B.V.,13000420,13000420,wnt_verantwoording,,,
55869319,Amethist Verslavingszorg Flevoland (Maatschap),Almere,2021,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
41099111,De Wijngaerd (Stichting),Made,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41126114,Profila Zorg (Stichting),Houten,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41181294,Landelijke Stichting Vredenoord,Huis ter Heide Ut,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
17264705,Alexander Monro Ziekenhuis (Stichting),Bilthoven,2021,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
41231194,Wilgaerdenleekerweide Groep (Stichting),Wognum,2021,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
41041607,Vérian (Stichting),Apeldoorn,2021,Eshuis Registeraccountants B.V.,13000144,13000144,wettelijke_controle,goedkeurend,,
08151796,Stichting Betere Thuiszorg Twente & Achterhoek,Almelo,2021,Eshuis Registeraccountants B.V.,13000144,13000144,wettelijke_controle,goedkeurend,,
27271656,Stichting MCD Behandel Centrum,Nieuwegein,2021,Witlox VCS audit B.V.,13000578,13000578,wettelijke_controle,goedkeurend,,
51166909,Autisme Centrum in Contact (ACIC) (Maatschap),Hilversum,2021,Share Impact Accountants B.V.,13020072,13020072,productieverantwoording,goedkeurend,,
52684717,Boba Groep,Dordrecht,2021,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,
53704533,Stichting Amaryllis,Leeuwarden,2021,Omnyacc In Control B.V.,13000194,13000194,wettelijke_controle,goedkeurend,,
69554307,Stichting Santé Sociaal Domein STMR-Vitras,Tiel,2021,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
41060187,Santé Partners (Stichting),Tiel,2021,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
41202793,Stichting Humanitas voor Dienstverlening aan Mensen met een Hulpvraag,Nieuwegein,2021,Baker Tilly (Netherlands) B.V.,13000741,13000741,wettelijke_controle,goedkeurend,,
28100647,Stichting Radius,Leiden,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
59795417,De Walburgt 2 B.V.,Amersfoort,2021,Auren Audit & Assurance Amsterdam B.V.,13020031,13020031,productieverantwoording,goedkeurend,,
55146058,De Walburgt B.V.,Amersfoort,2021,Auren Audit & Assurance Amsterdam B.V.,13020031,13020031,productieverantwoording,goedkeurend,,
09140691,Pro Persona Holding (Stichting),Renkum,2021,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
41125094,Hervormde Stichting Bejaardenzorg Capelle a/d IJssel,Capelle aan den IJssel,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
37109706,Ketenzorg West-Friesland (Stichting),Hoorn,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
09119500,Zorgresidence Regina (Stichting),Velp,2021,Coöperatie ConFirm U.A.,13020039,13020039,wettelijke_controle,goedkeurend,,
17147045,Viasana (Stichting),Mill,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41052159,Jeugdbescherming Gelderland (Stichting),Arnhem,2021,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
74933442,Stichting AParee GGZ,Rotterdam,2021,DRV Accountants & Adviseurs,overig_drv_accountants_adviseurs,,wnt_verantwoording,goedkeurend,,
08139691,ExperTcare B.V.,Nieuwegein,2021,Stichting Audit Only,13000655,13000655,wettelijke_controle,goedkeurend,,
41194854,Stichting Merem Medische Revalidatie,Hilversum,2021,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
62965069,Handelsonderneming Broekhuisen,Pannerden,2021,NBC Audit Services B.V.,13000197,13000197,productieverantwoording,goedkeurend,,
41177220,Stichting Samen Veilig Midden-Nederland,Utrecht,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41066359,Laurentius Ziekenhuis Roermond (Stichting),Roermond,2021,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
08154763,Zorggroep Apeldoorn en omstreken (Stichting),Apeldoorn,2021,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
67742858,Protestants-Christelijke Stichting Waardeburgh,Sliedrecht,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
34142090,Zonnehuisgroep Amstelland (Stichting),Amstelveen,2021,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
41225869,Zorgcentrum Aelsmeer (Stichting),Aalsmeer,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
59576421,Stichting Combinatie Elker/Poortje,Groningen,2021,Baker Tilly (Netherlands) B.V.,13000741,13000741,wettelijke_controle,goedkeurend,,
41005202,GGZ Friesland (Stichting),Leeuwarden,2021,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
41000413,Verzorgingshuis Talma Apeldoorn (Stichting),Apeldoorn,2021,Stolwijk Kelderman Accountants Fiscalisten,13000458,13000458,wettelijke_controle,goedkeurend,,
41102327,Sint Elisabeth (Stichting),Roosendaal,2021,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41085995,Stichting Arons Zorg,'s-Hertogenbosch,2021,Q-Concepts Accountancy B.V.,13000773,13000773,wettelijke_controle,goedkeurend,,ja
41107082,Thuiszorg West-Brabant (Stichting),Roosendaal,2021,Baker Tilly (Netherlands) B.V.,13000741,13000741,wettelijke_controle,goedkeurend,,
59454903,"Stichting Zeeuwse Gronden, samenleving en participatie",Terneuzen,2021,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,
41088848,Archipel (Stichting),Eindhoven,2021,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
41207079,t Kabouterhuis (Stichting),Amsterdam,2021,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
17200931,Amaliazorg (Stichting),Oirschot,2021,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
22057719,Wonen en Psychiatrie (Stichting),Terneuzen,2021,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,
41005173,Jeugdhulp Friesland (Stichting),Leeuwarden,2021,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
41223799,KennemerHart (Stichting),Haarlem,2021,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
05067459,Bureau Jeugdzorg Overijssel (Stichting),Zwolle,2021,Baker Tilly (Netherlands) B.V.,13000741,13000741,wettelijke_controle,goedkeurend,,
27181317,Geestelijke Gezondheidszorg Delfland (Stichting),Delft,2021,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
41133849,"De Kijvelanden, instelling voor forensische Psychiatrie (Stichting)",Rhoon,2021,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
30158002,AxionContinu groep (Stichting),Utrecht,2021,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
60824522,Via Almata,Ossendrecht,2021,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
56754582,Thuisteam Twente (Stichting),Almelo,2021,Eshuis Registeraccountants B.V.,13000144,13000144,wettelijke_controle,goedkeurend,,
27248096,Saffier - De Residentie Groep,'s-Gravenhage,2021,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
