kvk,naam,plaats,boekjaar,kantoor,kantoor_sleutel,afm_nummer,type_opdracht,oordeel,grond_beperking,continuiteitsonzekerheid
41166027,"Curium, Academisch Centrum Kinder- en Jeugdpsychiatrie (Stichting)",Oegstgeest,2020,EY Accountants B.V.,13020186,13020186,wettelijke_controle,oordeelonthouding,,
69495912,AC Thuiszorg B.V.,'s-Gravenhage,2020,Van Velzen Audit B.V.,13020127,13020127,wnt_verantwoording,goedkeurend,,
20157206,BAS interklinisch zorgvervoer,Halsteren,2020,VHM Audit B.V.,13000176,13000176,wnt_verantwoording,goedkeurend,,
41005390,Thuiszorg Het Friese Land (Stichting),Leeuwarden,2020,AKSOS Assurance B.V.,13020068,13020068,wettelijke_controle,goedkeurend,,
67375472,Dotinga State Zorg B.V.,Marssum,2020,Smids en Schakel Accountants en Adviseurs B.V.,13000493,13000493,wettelijke_controle,goedkeurend,,ja
34218867,Broeder de Vries Dutch Medical Services B.V.,Lijnden,2020,VHM Audit B.V.,13000176,13000176,wnt_verantwoording,goedkeurend,,
39059711,Triade,Lelystad,2020,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
52716058,Stichting Yes We Can Clinics,Waalre,2020,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
09217053,Veiligheids- en Gezondheidsregio Gelderland-Midden (VGGM),Arnhem,2020,RA12 Registeraccountants B.V.,13020095,13020095,wettelijke_controle,goedkeurend,,
17193165,Centrumlocatie De La Salle,Boxtel,2020,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
73639753,Stichting Gastenhof Parkstad,Simpelveld,2020,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
73651885,Stichting Maashorst,Reek,2020,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
73639761,Stichting Gastenhof Noord en Midden Limburg,Heel,2020,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
14090236,Stichting Gastenhof Maastricht Heuvelland Westelijke Mijnstreek,Urmond,2020,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
02077559,SpatiePlus B.V.,Heerenveen,2020,Smids en Schakel Accountants en Adviseurs B.V.,13000493,13000493,wettelijke_controle,goedkeurend,,
41126114,Profila Zorg (Stichting),Houten,2020,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
58286020,Senioren Zorg Plan B.V.,Amsterdam,2020,aaff Audit en Assurance B.V.,13000259,13000259,wnt_verantwoording,goedkeurend,,
63803399,Thuiszorg Matilda Nederland B.V.,Breda,2020,BDO Audit & Assurance B.V.,13000311,13000311,wnt_verantwoording,goedkeurend,,ja
41126544,Protestants Christelijk Ziekenhuis Ikazia (Stichting),Rotterdam,2020,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,ja
11043745,Zorgcentra De Betuwe (Stichting),Culemborg,2020,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
41135552,Spine and Joint Centre the Netherlands (Stichting),Rotterdam,2020,DRV Accountants & Adviseurs,overig_drv_accountants_adviseurs,,vrijwillige_controle,goedkeurend,,
76484327,Coöperatie Spoor030 U.A.,Utrecht,2020,Forvis Mazars Accountants N.V.,13000408,13000408,wettelijke_controle,goedkeurend,,
71492453,Trauma Centrum Nederland B.V.,Vorden,2020,De Jong & Laan Controle B.V.,13000420,13000420,wnt_verantwoording,goedkeurend,,
52801241,Altenastaete Thuiszorg B.V.,Nieuwendijk,2020,Audit Combinate B.V.,13000570,13000570,wnt_verantwoording,goedkeurend,,
55281567,Autisme en adhd centrum ’t Zonneke (AACtZ),Dongen,2020,Schipper Accountants B.V.,13000415,13000415,wnt_verantwoording,goedkeurend,,
08183952,Bosman Gezondheidszorg Groep B.V.,Amersfoort,2020,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
75534193,Zorg van Zeeuwse Kwaliteit,IJzendijke,2020,Q-Concepts Accountancy B.V.,13000773,13000773,productieverantwoording,goedkeurend,,
41200490,William Schrikker Stichting Jeugdbescherming en Jeugdreclassering,Amsterdam,2020,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
41212707,William Schrikker Stichting Gezinsvormen,Amsterdam,2020,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
63702037,Familysupporters Amsterdam B.V.,Amsterdam,2020,Witlox VCS audit B.V.,13000578,13000578,wettelijke_controle,goedkeurend,,
41060187,Santé Partners (Stichting),Tiel,2020,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
70870942,Activeringscentrum De Brink B.V.,Roswinkel,2020,De Jong & Laan Controle B.V.,13000420,13000420,wnt_verantwoording,goedkeurend,,
34310392,Arkin (Stichting),Amsterdam,2020,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
34235755,Unal Zorg B.V.,Amsterdam,2020,CAS ZorgAccountants B.V.,overig_cas_zorgaccountants,,wnt_verantwoording,goedkeurend,,
41005051,Zorggroep Liante (Stichting),Oosterwolde,2020,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
39084425,MoleMann Mental Health B.V.,Huizen,2020,Stichting Audit Only,13000655,13000655,wettelijke_controle,goedkeurend,,
37138130,MagentaZorg (Stichting),Heerhugowaard,2020,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
08163409,Zorgboerderij Stal de Schultenhof B.V.,Tubbergen,2020,Eshuis Registeraccountants B.V.,13000144,13000144,wnt_verantwoording,goedkeurend,,
