kvk,naam,plaats,boekjaar,kantoor,kantoor_sleutel,afm_nummer,type_opdracht,oordeel,grond_beperking,continuiteitsonzekerheid,tekenend_accountant
01120271,Ketenzorg Friesland B.V.,Heerenveen,2024,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,beperking,wnt,,E.J. Jongsma RA
01095356,Dokterswacht Friesland B.V.,Heerenveen,2024,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,beperking,wnt,,
05055648,Ambulance IJsselland B.V.,Zwolle,2024,Eshuis Registeraccountants B.V.,13000144,13000144,wettelijke_controle,goedkeurend,,,
81796552,Samen Sterk Coaching B.V.,Lelystad,2024,Metis Audit B.V.,13020131,13020131,wnt_verantwoording,goedkeurend,,,
61945331,Coöperatie Medisch Specialisten Collectief Treant B.A.,Hoogeveen,2024,KRC Van Elderen Registeraccountants B.V.,13000113,13000113,wettelijke_controle,goedkeurend,,,
63654660,Coöperatie Medisch Specialistisch Bedrijf Catharina U.A.,Eindhoven,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,
73150045,Unilabs Eerstelijnsdiagnostiek B.V.,Enschede,2024,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,,
62250213,Coöperatie Medisch Specialisten Gelre U.A.,Apeldoorn,2024,Baker Tilly (Netherlands) B.V.,13000741,13000741,wettelijke_controle,goedkeurend,,,
09016777,Edesche Apotheek,Ede,2024,Vallei Accountants Audit B.V.,13000754,13000754,wettelijke_controle,oordeelonthouding,,,
08158370,"Huisartsenzorg Regio's Apeldoorn, Zutphen en Oost-Achterhoek B.V.",Apeldoorn,2024,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,,
02325269,Apothekengroep Groningen B.V.,Scheemda,2024,KLMN Audit B.V.,13020126,13020126,wettelijke_controle,oordeelonthouding,,,
20047074,Apotheek Roosendaal C.V.,Roosendaal,2024,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,oordeelonthouding,,,
62358308,Maatschap Medisch Specialistisch Bedrijf Tjongerschans Heerenveen,Heerenveen,2024,De ZorgAccountants B.V.,overig_de_zorgaccountants,,vrijwillige_controle,beperking,inhoudelijk,,E. Nijhuis AA
41062007,Brocacef Ziekenhuisfarmacie B.V.,Oostrum,2024,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,beperking,inhoudelijk,,
68924607,Huisartsen Eemland HAP B.V.,Amersfoort,2024,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,,
08215072,Vrijgevestigde Specialisten Deventer,Deventer,2024,Moore MKW Audit B.V.,13000173,13000173,wettelijke_controle,goedkeurend,,,
41231298,Stichting Zaans Medisch Centrum,Zaandam,2024,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,ja,drs. J. van Weezenbeek RA
22040269,Alliance Apotheek Nederland B.V.,Veghel,2024,Bol Accountants B.V.,13000054,13000054,wettelijke_controle,goedkeurend,,,
83553665,APPO Central Filling,Gilze,2024,Joore N.V.,13000774,13000774,wettelijke_controle,goedkeurend,,,
63671220,Apothekersgroep Groningen B.V.,Groningen,2024,"Hordijk, Kok, Laan & Wabeke, registeraccountants B.V.",13000003,13000003,wettelijke_controle,oordeelonthouding,,ja,
62118986,Coöperatief Medisch Specialistisch Bedrijf Admiraal De Ruyter Ziekenhuis U.A.,Goes,2024,Moore DRV Audit B.V.,13020116,13020116,wettelijke_controle,goedkeurend,,,
70616302,Vitalys B.V.,Arnhem,2024,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,,
62150413,Coöperatie Medische Staf St Jansdal U.A.,Harderwijk,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,
62273531,Coöperatie Medisch Specialistisch Bedrijf in het BovenIJ Ziekenhuis te Amsterdam U.A.,Amsterdam,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,
62355066,Maatschap Medisch Specialistisch Bedrijf Isala,Zwolle,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,drs. G.A. Kuipers RA
91252598,MetMaya,Zeist,2024,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,,H. Dijkman MSc RA
62276441,Coöperatief medisch specialisten ASz U.A.,Dordrecht,2024,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,,
41017323,Stichting Wilhelmina Ziekenhuis Assen,Assen,2024,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,,drs. L.R. Streefkerk RA
69739110,Unicum Huisartsenzorg Zuidwest Utrecht B.V.,Bilthoven,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wnt_verantwoording,,,,
77534492,Unicum Huisartsenspoedzorg B.V.,Bilthoven,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,beperking,wnt,,drs. M.F. Kool RA
56828985,Unicum Huisartsenzorg B.V.,Bilthoven,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,
52684717,Boba Groep B.V.,Dordrecht,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,beperking,wnt,,
30166253,BENU Apotheken B.V.,Maarssen,2024,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,beperking,inhoudelijk,,
53760387,Medicamus Spoedpost B.V.,Harderwijk,2024,Eshuis Registeraccountants B.V.,13000144,13000144,wettelijke_controle,goedkeurend,,,
53760778,Medicamus Zorg B.V.,Harderwijk,2024,Eshuis Registeraccountants B.V.,13000144,13000144,wettelijke_controle,goedkeurend,,,
54609852,MSB Maasstad,Rotterdam,2024,Metis Audit B.V.,13020131,13020131,wettelijke_controle,goedkeurend,,,drs. S. Veenhuis-Muis RA AA RC
62244221,Coöperatief MSB Alrijne U.A.,Leiderdorp,2024,Van Velzen Audit B.V.,13020127,13020127,wettelijke_controle,goedkeurend,,,M. Zandbergen MSc RA
62069349,Coöperatief Medisch Specialistisch Bedrijf Sint Antonius Ziekenhuis U.A.,Nieuwegein,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,
62166395,Jonkerbosch Medisch Specialisten,Nijmegen,2024,Van der Meer Accountants B.V.,13000361,13000361,wettelijke_controle,goedkeurend,,,
41208515,Stichting voor Bijzondere Tandheelkunde,Amsterdam,2024,RSM Netherlands Accountants N.V.,13000090,13000090,wettelijke_controle,goedkeurend,,,
62183729,maatschap MSB Gooi en Eemland,Hilversum,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,drs. M.F. Kool RA
62272624,De Bossche Specialisten Coöperatie U.A.,'s-Hertogenbosch,2024,Vallei Accountants Audit B.V.,13000754,13000754,controle_onbepaald,,,,
70316287,Atalmedial Holding B.V.,Amsterdam,2024,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,,C. Hameeteman RA
62512013,Zorgapotheek B.V.,Bleiswijk,2024,Witlox VCS audit B.V.,13000578,13000578,wettelijke_controle,goedkeurend,,,
24320803,Sonova Audiological Care Nederland B.V.,Rotterdam,2024,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,,
27251140,Stichting Huisartsenpost Westland,Naaldwijk,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,,,,
01136210,Ommelander Ziekenhuis Groningen B.V.,Scheemda,2024,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,,
08099583,HuisartsenOrganisatie Oost-Gelderland B.V.,Apeldoorn,2024,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,,
41005173,Stichting Jeugdhulp Friesland,Leeuwarden,2024,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,ja,
62271628,Coöperatie MSB Zuyderland U.A.,Heerlen,2024,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,,
75380854,Medisch Specialistisch Bedrijf Martini,Groningen,2024,Van der Meer Accountants B.V.,13000361,13000361,wettelijke_controle,goedkeurend,,,I. Brakke RA
76290522,Huisartsenposten Schievliet B.V.,Schiedam,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,drs. G.A. Kuipers RA
62249533,Coöperatief Medisch Specialisten Rijnstate U.A.,Arnhem,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,oordeelonthouding,,,drs. G.A. Kuipers RA
17279214,Stichting Combinatie Jeugdzorg,Eindhoven,2024,Q-Concepts Accountancy B.V.,13000773,13000773,wettelijke_controle,goedkeurend,,,
37159559,Gemeentelijke Gezondheidsdienst Hollands Noorden,Alkmaar,2024,Flynth Audit B.V.,13000519,13000519,wettelijke_controle,goedkeurend,,,
81754272,Modern Care B.V.,Enschede,2024,CAS ZorgAccountants B.V.,overig_cas_zorgaccountants,,productieverantwoording,goedkeurend,,,S.R. Snel AA
86953869,M. Bardoel Bureau voor Pedagogiek B.V.,Velp,2024,Stolwijk Kelderman Accountants Fiscalisten,13000458,13000458,wnt_verantwoording,beperking,wnt,,drs. G.J. Bouwhuis RA
72900970,Incluzio Randstad B.V.,Schiedam,2024,EY Accountants B.V.,13020186,13020186,wettelijke_controle,beperking,wnt,,
74286919,Nieuwe Start Woonzorg B.V.,Eindhoven,2024,Schipper Accountants B.V.,13000415,13000415,wnt_verantwoording,oordeelonthouding,,,N. Kampman MSc RA
62124250,Coöperatie Medisch Specialistisch Bedrijf Domstad U.A.,Utrecht,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,
83048359,Lassus Tandartsen Groep B.V.,Amsterdam,2024,Vallei Accountants Audit B.V.,13000754,13000754,wettelijke_controle,goedkeurend,,,
75026554,Mondzorg Holding Nederland Groep B.V.,Leeuwarden,2024,Baker Tilly (Netherlands) B.V.,13000741,13000741,wettelijke_controle,goedkeurend,,,
08096100,Coöperatieve Centrale HuisartsenPost Almelo en Omstreken U.A.,Almelo,2024,Moore MKW Audit B.V.,13000173,13000173,wettelijke_controle,goedkeurend,,,
88335046,Stichting Acuras,Oss,2024,Q-Concepts Accountancy B.V.,13000773,13000773,wettelijke_controle,beperking,inhoudelijk,,
62188887,Medisch Specialistisch Bedrijf Drachten,Drachten,2024,Van der Meer Accountants B.V.,13000361,13000361,wettelijke_controle,goedkeurend,,,
41022643,Stichting Voorzieningen voor Verstandelijk en Meervoudig Gehandicapten Zwolle e.o.,Zwolle,2024,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,,drs. G.A. Kuipers RA
41062188,Mutsaersstichting,Venlo,2024,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,,
